Left_side,Right_side,Support,Confidence,Lift
,"FOSFOMYCIN,TETRACYCLINE,METHICILLIN",0.14285714285714285,0.14285714285714285,1.0
"QUINOLONE,BETA-LACTAM",TETRACYCLINE,0.16326530612244897,1.0,1.0
TETRACYCLINE,"QUINOLONE,BETA-LACTAM",0.16326530612244897,0.16326530612244897,1.0
,"TETRACYCLINE,QUINOLONE,BETA-LACTAM",0.16326530612244897,0.16326530612244897,1.0
TETRACYCLINE,"FOSFOMYCIN,METHICILLIN,BETA-LACTAM",0.14285714285714285,0.14285714285714285,1.0
,"QUINOLONE,BETA-LACTAM,MACROLIDE",0.10204081632653061,0.10204081632653061,1.0
,"TETRACYCLINE,QUINOLONE,BETA-LACTAM,MACROLIDE",0.10204081632653061,0.10204081632653061,1.0
TETRACYCLINE,"BETA-LACTAM,MACROLIDE",0.15306122448979592,0.15306122448979592,1.0
TETRACYCLINE,"METHICILLIN,MACROLIDE",0.11224489795918367,0.11224489795918367,1.0
TETRACYCLINE,"METHICILLIN,BETA-LACTAM,MACROLIDE",0.11224489795918367,0.11224489795918367,1.0
"QUINOLONE,BETA-LACTAM,MACROLIDE",TETRACYCLINE,0.10204081632653061,1.0,1.0
,"TETRACYCLINE,BETA-LACTAM,MACROLIDE",0.15306122448979592,0.15306122448979592,1.0
,"TETRACYCLINE,QUINOLONE,METHICILLIN,BETA-LACTAM",0.14285714285714285,0.14285714285714285,1.0
TETRACYCLINE,"QUINOLONE,BETA-LACTAM,MACROLIDE",0.10204081632653061,0.10204081632653061,1.0
,"METHICILLIN,BETA-LACTAM,MACROLIDE",0.11224489795918367,0.11224489795918367,1.0
"QUINOLONE,MACROLIDE",TETRACYCLINE,0.10204081632653061,1.0,1.0
"BETA-LACTAM,MACROLIDE",TETRACYCLINE,0.15306122448979592,1.0,1.0
"METHICILLIN,BETA-LACTAM,MACROLIDE",TETRACYCLINE,0.11224489795918367,1.0,1.0
,"METHICILLIN,QUINOLONE,BETA-LACTAM",0.14285714285714285,0.14285714285714285,1.0
,"TETRACYCLINE,METHICILLIN,BETA-LACTAM",0.2857142857142857,0.2857142857142857,1.0
"METHICILLIN,MACROLIDE",TETRACYCLINE,0.11224489795918367,1.0,1.0
TETRACYCLINE,"METHICILLIN,BETA-LACTAM",0.2857142857142857,0.2857142857142857,1.0
